GeneID	SL	SP	XL	XP
Bra024262	15.10779542	19.5124807	18.7231021	28.1996967
Bra024263	0.832756	2.5871905	0.8611772	5.2838888
Bra024264	19.0879652	23.6053542	17.2002577	17.2259307
Bra024265	286.93347	215.33705	238.8965	235.233
Bra024266	0	0	0	0
Bra024267	0	0	0.00478297	0.00491442
Bra024268	0.067580795993	0	1.93616	0
Bra024269	0	0.0604443302	0	0.8140798
Bra024270	93.74419	90.919	102.63457	96.42207
Bra024271	24.165491	20.827055	29.3876	32.280854
Bra024272	18.5851863	15.081454	18.281934	13.6753898
Bra024273	1.6859847	1.9536853	1.4494267	2.28176164
Bra024274	7.755549	8.205399	6.412199	5.695637
Bra024275	0	0	0	0.00791334
Bra024276	28.480292	24.045024	28.581258	28.138306
Bra024277	2.30831	3.8879697	2.2715404	7.616407
Bra024278	20.413796	12.993209	17.64871	12.609397
Bra024279	0	0	0	0
Bra024280	77.3594	157.712	150.043	258.87
Bra024281	0	0	0	0
Bra024282	14.032514	13.3667078	18.1617755	23.08917
Bra024283	24.774858	25.36194	22.832762	34.0604
Bra024284	16.7602	120.664	67.565	401.652
Bra024285	32.892792	40.54798	29.2341	6.664795
Bra024286	33.22702	29.68055	27.64452	26.03879
Bra024287	321.274648	285.154546	316.729282	439.364642
Bra024288	10.45507642	14.0032987	8.15033884	10.404809332
Bra024289	2.81688	0.582069	3.65749	2.43952
Bra024290	2.36282	3.01627	2.02022	1.41228
Bra024291	13.5888002	10.233912	12.226136	9.4092263
Bra024292	16.247887	11.96175559	16.2836506	13.30723
Bra024293	50.645117	64.620558	61.004987	59.6243918
Bra024294	6.8024944	4.9477909	6.53493	6.1086936
Bra024295	70.6732	47.5338	75.3807	39.2901
Bra024296	0	0	0	0.00385217
Bra024297	0	0	0	0
Bra024298	0	0	0	0
Bra024299	15.71331011	14.6482464032	13.5062705	10.635854002
Bra024300	46.3197189	45.562634	57.702032	62.2056677
Bra024301	0.2590835	0.4040359	0.167645	0.130859
Bra024302	0.181729	1.54107	3.5205	5.83546
Bra024303	17.203379589	13.398675148	16.4673223	12.161496
Bra024304	0.21166455598	0.7684564378	0.322409	1.8888953
Bra024305	1210.76	913.869	890.545	166.682
Bra024306	0.1886617	3.780993	0.6040087	7.734144
Bra024307	0	0.0180816	0.0117607	0.0167956
Bra024308	54.5765	42.8655	72.7872	38.9156
Bra024309	33.454866	31.064949	29.260048	25.779088
Bra024310	0	0.00553535	0	0.00220689
Bra024311	5.6197033	11.197859	9.5667884	22.0577793
Bra024312	10.5966774	11.2889055	11.6682185	16.3076834
Bra024313	0.0109874	0.071593	0	0.0385001
Bra024314	0.07081671	0.241648	0.179175	1.473131
Bra024315	56.46416	35.62059	80.2037	46.22052
Bra024316	21.4963354	14.3304002	16.4859612	9.5988398
Bra024317	22.475	26.3445	15.5989	8.98872
Bra024318	23.9244	80.0865	45.6754	161.293
Bra024319	20.955041	13.21659	10.261305	9.856544
Bra024320	9.575582	10.0534661	10.8995596	14.2213699
Bra024321	0.175413149775	0.645868	0.16712022	0.803855313809
Bra024322	0	0	0	0
Bra024323	4.2470645358	3.6707255	3.578007	3.834080176
Bra024324	200.80331	122.39539	181.33601	137.66731
Bra024325	0.0945864	0.7723681	0.2632517	0.8612335
Bra024326	10.2746	25.579788	28.4803	60.228
Bra024327	9.26439	9.959044	10.081223	15.795864
Bra024328	0.92157365519	0.21005505052	0.7476817	1.003527
Bra024329	22.337069	17.175793	21.085512	14.596617
Bra024330	12.5047	18.7246	17.97774	25.473
Bra024331	3.580946	3.42407	3.48007	4.650928
Bra024332	40.197901	134.63805	66.9846	209.09671
Bra024333	0.04787051	0.383995	0	0.42949780876
Bra024334	11.431679	15.587711	10.290196	13.91168
Bra024335	7.585265	12.93474	2.79279	66.79989
Bra024336	0.908137	11.7791	5.75978	117.984
Bra024337	15.212071	12.786195	13.921262	10.068332
Bra024338	0	0	0	0
Bra024339	2.76113499	6.95578655	5.67024007	13.2224783
Bra024340	0.06291215	0.0704773	0.208639	0.581758
Bra024341	3.2017571	3.7362063	2.8451417	2.5795231
Bra024342	8.264843	7.344076	7.263875	7.771997
Bra024343	0	0	0	0
Bra024344	8.798659	8.996396	10.487434	9.082813
Bra024345	16.709692	15.111605	32.824484	23.03526
Bra024346	142.2375564	31.450191	95.802997	16.7199209
Bra024347	0	0	0	0
Bra024348	0.0356873	0.0240875	0.00409247	0.0342228
Bra024349	5.270952	7.253553	3.750126	2.10143
Bra024350	12.5388686	11.986507	10.028218	12.552187
Bra024351	17.242885	14.323018	11.502397	11.688928
Bra024352	5.873096874	6.2916897	4.742226662	5.949474782
Bra024353	0	0.13459038	0.01096231758	0.1931323
Bra024354	0	0	0	0
Bra024355	22.025533	10.961365	25.6087482	22.6407165
Bra024356	3.92915	5.3736495	4.5746069	6.88635
Bra024357	0	0	0	0
Bra024358	0	0.085588	0	0.0212349
Bra024359	0.55856537	2.609319	0.19992719	2.439394
Bra024360	0.2514894	0.6004354	0.08929486	0.06450336
Bra024361	0	0	0	0
Bra024362	2.768335	2.91294	3.97691	3.48691
Bra024363	4.184430854	7.9868574201	4.694951	5.2946364
Bra024364	0	4.71543	1.07568	4.67446
Bra024365	0	0	0	0
Bra024366	3.2168671	8.9496411	5.506355399	12.5606764
Bra024367	41.88871	96.729726	93.724745	200.972984
Bra024368	0	0	0	0
Bra024369	10.2545025	11.614554	9.65054	8.87055371
Bra024370	12.2069265	10.471883	11.4748765	8.3061366
Bra024371	1.9775	1.65665	1.71033	1.16783
Bra024372	30.29924	25.58386	33.72199	36.177624
Bra024373	15.600577	11.047305	13.520975	7.3891242
Bra024374	13.0620141	8.38452	12.18093	9.500472
Bra024375	5.0579792	5.65052126	4.8297401	4.5662153
Bra024376	5.23643	7.14584	9.39745	11.762
Bra024377	111.9882	69.7362	108.119	36.50267
Bra024378	0.3493382	0.134442	0.0664091	0.0587034769
Bra024379	3.6507487016	6.066797282	2.622590721	3.084619408
Bra024380	0	0.0350864	0	0
Bra024381	0.1137043	0.8483197	0.1525224	3.781189
Bra024382	0.0916139	1.14742	0.0681172	2.76022
Bra024383	3.315142	3.05644427	2.788207	2.9738115
Bra024384	349.43549	211.556767	439.870349	238.704062
Bra024385	13.7826729	8.237234	13.9130748	7.9718979
Bra024386	1.8595488	2.8832804	2.2456335	2.7652069
Bra024387	9.8166095	6.066801442	8.7463463	7.445895112
Bra024388	71.948779	47.41634	75.915826	48.179478
Bra024389	4.51672	7.8322573	6.031134	8.2245001
Bra024390	3.29818	4.374974	3.822459	7.455952
Bra024391	0	0	0	0
Bra024392	30.6474	25.7473	27.372	19.6186
Bra024393	1.29265	0.8265914	1.0363345	0.543328
Bra024394	0.2882312	0.9719455	0.1008771	0.0126125
Bra024395	6.6763191	5.2164533	36.564065	8.823515
